sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,Speed
290,-123.0,-988.0,34.0,72.0,-65.0,-91.0,0.45
291,-109.0,-979.0,39.0,71.0,-69.0,-102.0,0.45
292,-96.0,-970.0,41.0,67.0,-67.0,-105.0,0.45
293,-97.0,-965.0,44.0,61.0,-62.0,-99.0,0.45
294,-88.0,-964.0,44.0,53.0,-57.0,-93.0,0.45
295,-83.0,-973.0,40.0,47.0,-52.0,-78.0,0.45
296,-89.0,-974.0,41.0,45.0,-48.0,-58.0,0.45
297,-98.0,-983.0,37.0,44.0,-44.0,-43.0,0.45
298,-92.0,-990.0,33.0,47.0,-42.0,-36.0,0.45
299,-96.0,-991.0,33.0,53.0,-39.0,-27.0,0.45
300,-110.0,-991.0,46.0,124.0,-38.0,12.0,0.45
301,-113.0,-983.0,52.0,124.0,-38.0,0.0,0.45
302,-108.0,-989.0,48.0,121.0,-39.0,-8.0,0.45
303,-101.0,-988.0,48.0,123.0,-38.0,-11.0,0.45
304,-101.0,-987.0,51.0,123.0,-38.0,-10.0,0.45
305,-90.0,-980.0,53.0,124.0,-38.0,-5.0,0.45
306,-99.0,-1000.0,46.0,124.0,-35.0,2.0,0.45
307,-91.0,-1005.0,49.0,131.0,-35.0,6.0,0.45
308,-90.0,-1015.0,47.0,139.0,-35.0,17.0,0.45
309,-84.0,-1016.0,45.0,154.0,-31.0,21.0,0.45
310,-101.0,-989.0,59.0,167.0,-23.0,24.0,0.45
311,-148.0,-969.0,68.0,166.0,-21.0,2.0,0.45
312,-205.0,-1804.0,-70.0,1300.0,-129.0,-429.0,0.45
313,137.0,541.0,-574.0,1330.0,735.0,-1214.0,0.45
314,278.0,-271.0,-405.0,581.0,1024.0,-316.0,0.45
315,-295.0,18.0,-679.0,242.0,1474.0,445.0,0.45
316,-193.0,-292.0,-595.0,-201.0,1542.0,1048.0,0.45
317,-281.0,-328.0,-565.0,-400.0,1633.0,1240.0,0.45
318,-446.0,-204.0,-548.0,-553.0,1630.0,1188.0,0.45
319,-716.0,-324.0,-528.0,-752.0,1452.0,1200.0,0.45
320,-708.0,-354.0,-500.0,-872.0,1054.0,1319.0,0.45
321,-540.0,-328.0,-472.0,-980.0,642.0,1315.0,0.45
322,-412.0,-355.0,-452.0,-1120.0,318.0,1143.0,0.45
323,-335.0,-379.0,-424.0,-1270.0,54.0,925.0,0.45
324,-345.0,-547.0,-343.0,-1597.0,-396.0,647.0,0.45
325,259.0,-931.0,543.0,-337.0,-371.0,99.0,0.55
326,198.0,-962.0,478.0,-363.0,-316.0,100.0,0.55
327,121.0,-1035.0,430.0,-337.0,-292.0,95.0,0.55
328,64.0,-977.0,392.0,-239.0,-300.0,65.0,0.55
329,56.0,-895.0,337.0,-159.0,-329.0,54.0,0.55
330,76.0,-871.0,272.0,-121.0,-352.0,81.0,0.55
331,115.0,-890.0,215.0,-94.0,-352.0,106.0,0.55
332,159.0,-942.0,171.0,-43.0,-317.0,136.0,0.55
333,387.0,-1911.0,407.0,103.0,-252.0,-47.0,0.55
334,285.0,-42.0,459.0,1088.0,180.0,19.0,0.55
335,-86.0,-968.0,0.0,124.0,-42.0,-59.0,0.55
336,-95.0,-960.0,8.0,109.0,-39.0,-60.0,0.55
337,-66.0,-981.0,-2.0,93.0,-41.0,-62.0,0.55
338,-51.0,-1005.0,-24.0,97.0,-37.0,-34.0,0.55
339,-60.0,-991.0,-13.0,122.0,-30.0,9.0,0.55
